Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
2360,183.232.231.172-10.42.0.211-443-34788-6,10.42.0.211,34788,183.232.231.172,443.0,6.0,15/06/2017 04:36:59,1675506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1936692557352824,1675506.0,0.0,1675506.0,1675506.0,1675506.0,1675506.0,0.0,1675506.0,1675506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40,0,1.1936692557352824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,40.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1369.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Android_Adware
1004,10.42.0.151-98.138.49.11-44240-443-6,10.42.0.151,44240,98.138.49.11,443.0,6.0,14/06/2017 04:13:35,2056,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459.1439688715952,1028.0,1221.8805178903542,1892.0,164.0,2056.0,1028.0,1221.8805178903542,1892.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,96,0,1459.1439688715952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,96.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1595.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Android_Adware
665,10.42.0.151-104.27.147.18-41731-80-6,10.42.0.151,41731,104.27.147.18,80.0,6.0,15/06/2017 04:19:12,40576,5,3,160.0,549.0,160.0,0.0,32.0,71.55417527999327,549.0,0.0,183.0,316.9652977851045,17473.383280757098,197.1608832807571,5796.571428571428,6515.630561890968,15283.0,618.0,40576.0,10144.0,10454.17450909763,21007.0,618.0,19753.0,9876.5,11057.028737414044,17695.0,2058.0,0.0,0.0,0,0,120,72,123.22555205047318,73.93533123028391,0.0,549.0,78.77777777777777,184.1017230892868,33893.444444444445,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,88.625,32.0,183.0,120.0,0,0.0,0.0,0.0,0.0,0.0,5.0,160.0,3.0,549.0,65535.0,30.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Android_Adware
4126,10.42.0.211-52.70.36.202-51281-443-6,10.42.0.211,51281,52.70.36.202,443.0,6.0,15/06/2017 04:41:39,7296842,15,19,2400.0,15709.0,1107.0,0.0,160.00000000000003,307.4391925940106,1448.0,0.0,826.7894736842104,647.5265399063121,2481.758547053644,4.659549980662868,221116.42424242423,840710.394599711,4693636.0,0.0,2603180.0,185941.42857142852,363763.2632916241,1230315.0,4.0,7246418.0,402578.77777777775,1130441.6379888386,4695720.0,0.0,0.0,0.0,0,0,488,616,2.055683814998324,2.603866165664544,0.0,1448.0,517.3999999999999,615.3175746287918,378615.7176470588,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,532.6176470588235,160.0,826.7894736842105,488.0,0,0.0,0.0,0.0,0.0,0.0,15.0,2400.0,19.0,15709.0,65535.0,279.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Android_Adware
313,10.42.0.211-95.213.11.181-44684-80-6,10.42.0.211,44684,95.213.11.181,80.0,6.0,14/06/2017 04:36:12,19108049,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2093358667857718,6369349.666666667,10902281.815926716,18958002.0,10812.0,19108049.0,9554024.5,13299232.520751432,18958002.0,150047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,104,40,0.1570019000893288,0.0523339666964429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,104.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,65535.0,27960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Android_Adware
1755,205.185.216.42-10.42.0.211-443-39842-6,10.42.0.211,39842,205.185.216.42,443.0,6.0,15/06/2017 06:54:27,1699710,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7650069717775383,849855.0,1147649.8622149527,1661366.0,38344.0,1699710.0,849855.0,1147649.8622149527,1661366.0,38344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,96,0,1.7650069717775383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,96.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3767.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Android_Adware
1808,180.149.136.194-10.42.0.211-443-40404-6,10.42.0.211,40404,180.149.136.194,443.0,6.0,15/06/2017 05:00:36,5,1,1,53.0,0.0,53.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,10600000.0,400000.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,20,20,200000.0,200000.0,0.0,53.0,35.33333333333333,30.59956426705017,936.3333333333334,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,53.0,53.0,0.0,20.0,0,0.0,0.0,0.0,0.0,0.0,1.0,53.0,1.0,0.0,198.0,198.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Android_Adware
356,220.243.219.55-10.42.0.151-80-52135-6,10.42.0.151,52135,220.243.219.55,80.0,6.0,14/06/2017 01:13:53,30398833,32,35,2394.0,42139.0,404.0,0.0,74.81250000000001,158.24183972233664,1460.0,0.0,1203.9714285714288,417.74024336227137,1464.95755281132,2.2040319771485963,460588.3787878788,3690284.279275059,29986250.0,1.0,412583.0,13309.129032258064,16883.619619307417,68932.0,1.0,30383274.0,893625.705882353,5143102.023050618,30000492.0,1.0,0.0,0.0,0,0,696,712,1.0526719890858969,1.1513599880626997,0.0,1460.0,654.8970588235294,651.7280391437411,424749.4370061457,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,664.6716417910447,74.8125,1203.9714285714283,696.0,0,0.0,0.0,0.0,0.0,0.0,32.0,2394.0,35.0,42139.0,65535.0,165.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Android_Adware
479,139.162.61.40-10.42.0.211-8080-54299-6,10.42.0.211,54299,139.162.61.40,8080.0,6.0,15/06/2017 06:29:19,5680816,5,5,1071.0,289.0,1071.0,0.0,214.2,478.96576078045496,284.0,0.0,57.8,126.46817781560704,239.4022267223582,1.7603104906055749,631201.7777777778,1639555.806717156,4992806.0,38.0,688010.0,172002.5,205071.82121474744,409066.0,126.0,5414015.0,1353503.75,2440624.41957195,5002954.0,38.0,0.0,0.0,0,0,168,168,0.8801552453027874,0.8801552453027874,0.0,1071.0,123.63636363636364,325.51137391104254,105957.65454545454,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,136.0,214.2,57.8,168.0,0,0.0,0.0,0.0,0.0,0.0,5.0,1071.0,5.0,289.0,65535.0,243.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Android_Adware
1033,10.42.0.151-119.146.74.49-44320-443-6,119.146.74.49,443,10.42.0.151,44320.0,6.0,14/06/2017 05:01:33,39,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51282.05128205128,39.0,0.0,39.0,39.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40,0,51282.05128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,40.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4380.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Android_Adware
